"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9","test_crear_tarjeta_por_id_lista[test_014: crear_tarjeta_con_id_lista_inexistente]","tests.api-planka.card","Thu Dec 04 01:46:19 UTC 2025","passed","Thu Dec 04 01:46:19 UTC 2025","","test_post_card","",""
"","8","test_eliminar_tablero_por_id_tablero[test_023: eliminar_tablero_con_id_tablero_vacio]","tests.api-planka.board","Thu Dec 04 01:46:18 UTC 2025","skipped","Thu Dec 04 01:46:18 UTC 2025","","test_delete_board","",""
"","7","test_crear_tablero_por_id_proyecto[test_011: crear_tablero_con_id_proyecto_valor_invalido_tipo]","tests.api-planka.board","Thu Dec 04 01:46:19 UTC 2025","passed","Thu Dec 04 01:46:19 UTC 2025","","test_post_board","",""
"","10","test_eliminar_tarjeta_por_id_tarjeta[test_025: eliminar_tarjeta_con_id_tarjeta_inexistente]","tests.api-planka.card","Thu Dec 04 01:46:19 UTC 2025","passed","Thu Dec 04 01:46:19 UTC 2025","","test_delete_card","",""
"","6","test_obtener_tarjeta_por_id_tarjeta[test_021: obtener_tarjeta_con_id_tarjeta_vacia]","tests.api-planka.card","Thu Dec 04 01:46:19 UTC 2025","skipped","Thu Dec 04 01:46:19 UTC 2025","","test_get_card","",""
"","3","test_obtener_tablero[test_014: obtener_tablero_con_token_invalido]","tests.api-planka.board","Thu Dec 04 01:46:19 UTC 2025","passed","Thu Dec 04 01:46:19 UTC 2025","","test_get_board","",""
"","6","test_obtener_lista_por_id_lista[test_024: obtener_lista_con_id_lista_tipo_invalido]","tests.api-planka.list","Thu Dec 04 01:46:20 UTC 2025","passed","Thu Dec 04 01:46:20 UTC 2025","","test_get_list","",""
"","7","test_eliminar_proyecto_por_id_proyecto[test_019: eliminar_proyecto_con_id_proyecto_invalido_valor_cadena]","tests.api-planka.project_management","Thu Dec 04 01:46:20 UTC 2025","passed","Thu Dec 04 01:46:20 UTC 2025","","test_delete_project","",""
"","9","test_crear_proyecto_con_el_campo_nombre[test_009: crear_proyecto_con_el_campo_nombre_vacio]","tests.api-planka.project_management","Thu Dec 04 01:46:20 UTC 2025","passed","Thu Dec 04 01:46:20 UTC 2025","","test_post_project","",""
"","3","test_obtener_lista[test_019: obtener_lista_con_token_invalido]","tests.api-planka.list","Thu Dec 04 01:46:20 UTC 2025","passed","Thu Dec 04 01:46:20 UTC 2025","","test_get_list","",""
"","13","test_crear_lista_con_campo_tipo[test_003 : crear_lista_con_campo_tipo_activo]","tests.api-planka.list","Thu Dec 04 01:46:20 UTC 2025","passed","Thu Dec 04 01:46:20 UTC 2025","","test_post_list","",""
"","4","test_obtener_tarjeta[test_018 : obtener_tarjeta_con_token_invalido]","tests.api-planka.card","Thu Dec 04 01:46:19 UTC 2025","passed","Thu Dec 04 01:46:19 UTC 2025","","test_get_card","",""
"","22","test_obtener_proyecto[test_011: obtener_proyecto_con_token_valido]","tests.api-planka.project_management","Thu Dec 04 01:46:20 UTC 2025","passed","Thu Dec 04 01:46:20 UTC 2025","","test_get_projects","",""
"","14","test_crear_lista[test_001: crear_lista_con_token_valido]","tests.api-planka.list","Thu Dec 04 01:46:20 UTC 2025","passed","Thu Dec 04 01:46:20 UTC 2025","","test_post_list","",""
"","7","test_crear_tablero_por_id_proyecto[test_009: crear_tablero_con_id_proyecto_no_existente]","tests.api-planka.board","Thu Dec 04 01:46:19 UTC 2025","skipped","Thu Dec 04 01:46:19 UTC 2025","","test_post_board","",""
"","20","test_crear_tablero[test_001: crear_tablero_con_token_valido]","tests.api-planka.board","Thu Dec 04 01:46:19 UTC 2025","passed","Thu Dec 04 01:46:19 UTC 2025","","test_post_board","",""
"","7","test_crear_lista_por_id_tablero[test_017: crear_lista_con_id_tablero_invalido]","tests.api-planka.list","Thu Dec 04 01:46:20 UTC 2025","passed","Thu Dec 04 01:46:20 UTC 2025","","test_post_list","",""
"","6","test_eliminar_lista_por_id_lista[test_028: eliminar_lista_con_id_lista_vacia]","tests.api-planka.list","Thu Dec 04 01:46:19 UTC 2025","passed","Thu Dec 04 01:46:19 UTC 2025","","test_delete_list","",""
"","18","test_crear_tarjeta[test_001: crear_tarjeta_con_token_valido]","tests.api-planka.card","Thu Dec 04 01:46:19 UTC 2025","passed","Thu Dec 04 01:46:19 UTC 2025","","test_post_card","",""
"","6","test_crear_tarjeta_con_campo_posicion[test_009: crear_tarjeta_con_campo_posicion_invalido]","tests.api-planka.card","Thu Dec 04 01:46:19 UTC 2025","passed","Thu Dec 04 01:46:19 UTC 2025","","test_post_card","",""
"","7","test_crear_tablero_por_id_proyecto[test_010: crear_tablero_con_id_proyecto_vacio]","tests.api-planka.board","Thu Dec 04 01:46:19 UTC 2025","passed","Thu Dec 04 01:46:19 UTC 2025","","test_post_board","",""
"","13","test_crear_proyecto_con_el_campo_nombre[test_010: crear_proyecto_con_el_campo_nombre_de_valor_numerico]","tests.api-planka.project_management","Thu Dec 04 01:46:20 UTC 2025","skipped","Thu Dec 04 01:46:20 UTC 2025","","test_post_project","",""
"","15","test_eliminar_lista[test_025: eliminar_lista_con_token_valido]","tests.api-planka.list","Thu Dec 04 01:46:19 UTC 2025","passed","Thu Dec 04 01:46:19 UTC 2025","","test_delete_list","",""
