"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","test_014_validar_esquema_de_entrada_al_crear_lista","tests.api-planka.list","Thu Dec 04 00:59:02 UTC 2025","passed","Thu Dec 04 00:59:02 UTC 2025","","test_post_list","",""
"","33","test_obtener_tablero[test_013: obtener_tablero_con_token_valido]","tests.api-planka.board","Thu Dec 04 00:59:01 UTC 2025","passed","Thu Dec 04 00:59:01 UTC 2025","","test_get_board","",""
"","5","test_crear_proyecto_con_el_campo_tipo[test_008 : crear_proyecto_con_el_campo_tipo_invalido]","tests.api-planka.project_management","Thu Dec 04 00:59:02 UTC 2025","passed","Thu Dec 04 00:59:02 UTC 2025","","test_post_project","",""
"","7","test_crear_tablero_por_id_proyecto[test_010: crear_tablero_con_id_proyecto_vacio]","tests.api-planka.board","Thu Dec 04 00:59:01 UTC 2025","passed","Thu Dec 04 00:59:01 UTC 2025","","test_post_board","",""
"","5","test_crear_tablero[test_002: crear_tablero_con_token_invalido]","tests.api-planka.board","Thu Dec 04 00:59:01 UTC 2025","passed","Thu Dec 04 00:59:01 UTC 2025","","test_post_board","",""
"","3","test_obtener_proyecto[test_012: obtener_proyecto_con_token_invalido]","tests.api-planka.project_management","Thu Dec 04 00:59:02 UTC 2025","passed","Thu Dec 04 00:59:02 UTC 2025","","test_get_projects","",""
"","4","test_crear_proyecto_con_token[test_002: crear_proyecto_con_token_invalido]","tests.api-planka.project_management","Thu Dec 04 00:59:02 UTC 2025","passed","Thu Dec 04 00:59:02 UTC 2025","","test_post_project","",""
"","32","test_021_validar_esquema_de_salida_al_obtener_lista","tests.api-planka.list","Thu Dec 04 00:59:02 UTC 2025","passed","Thu Dec 04 00:59:02 UTC 2025","","test_get_list","",""
"","14","test_crear_lista[test_001: crear_lista_con_token_valido]","tests.api-planka.list","Thu Dec 04 00:59:02 UTC 2025","passed","Thu Dec 04 00:59:02 UTC 2025","","test_post_list","",""
"","30","test_015_validar_esquema_de_respuesta_al_obtener_tablero","tests.api-planka.board","Thu Dec 04 00:59:01 UTC 2025","passed","Thu Dec 04 00:59:01 UTC 2025","","test_get_board","",""
"","3","test_crear_lista[test_002: crear_lista_con_token_invalido]","tests.api-planka.list","Thu Dec 04 00:59:02 UTC 2025","passed","Thu Dec 04 00:59:02 UTC 2025","","test_post_list","",""
"","29","test_eliminar_lista[test_025: eliminar_lista_con_token_valido]","tests.api-planka.list","Thu Dec 04 00:59:02 UTC 2025","passed","Thu Dec 04 00:59:02 UTC 2025","","test_delete_list","",""
"","24","test_obtener_tarjeta[test_017 : obtener_tarjeta_con_token_valido]","tests.api-planka.card","Thu Dec 04 00:59:01 UTC 2025","passed","Thu Dec 04 00:59:01 UTC 2025","","test_get_card","",""
"","6","test_crear_proyecto_con_el_campo_tipo[test_007 : crear_proyecto_con_el_campo_tipo_vacio]","tests.api-planka.project_management","Thu Dec 04 00:59:02 UTC 2025","passed","Thu Dec 04 00:59:02 UTC 2025","","test_post_project","",""
"","11","test_crear_proyecto_con_el_campo_tipo[test_006 : crear_proyecto_con_el_campo_tipo_publico]","tests.api-planka.project_management","Thu Dec 04 00:59:02 UTC 2025","passed","Thu Dec 04 00:59:02 UTC 2025","","test_post_project","",""
"","3","test_eliminar_proyecto[test_016: eliminar_proyecto_con_token_invalido]","tests.api-planka.project_management","Thu Dec 04 00:59:02 UTC 2025","passed","Thu Dec 04 00:59:02 UTC 2025","","test_delete_project","",""
"","17","test_crear_tarjeta_con_tipo_de_tarjeta[test_005: crear_tarjeta_con_campo_tipo_historia]","tests.api-planka.card","Thu Dec 04 00:59:02 UTC 2025","passed","Thu Dec 04 00:59:02 UTC 2025","","test_post_card","",""
