"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","test_crear_lista_con_campo_tipo[test_004 : crear_lista_con_campo_tipo_cerrado]","tests.api-planka.list","Tue Dec 02 20:53:23 UTC 2025","passed","Tue Dec 02 20:53:23 UTC 2025","","test_post_list","",""
"","14","test_013_validar_esquema_de_salida_al_crear_lista","tests.api-planka.list","Tue Dec 02 20:53:23 UTC 2025","passed","Tue Dec 02 20:53:23 UTC 2025","","test_post_list","",""
"","7","test_crear_lista_con_campo_tipo[test_005 : crear_lista_con_campo_tipo_vacio]","tests.api-planka.list","Tue Dec 02 20:53:23 UTC 2025","passed","Tue Dec 02 20:53:23 UTC 2025","","test_post_list","",""
"","8","test_crear_lista_con_campo_posicion[test_009: crear_lista_con_campo_posicion_valor_negativo]","tests.api-planka.list","Tue Dec 02 20:53:23 UTC 2025","passed","Tue Dec 02 20:53:23 UTC 2025","","test_post_list","",""
"","14","test_crear_lista_con_campo_tipo[test_003 : crear_lista_con_campo_tipo_activo]","tests.api-planka.list","Tue Dec 02 20:53:23 UTC 2025","passed","Tue Dec 02 20:53:23 UTC 2025","","test_post_list","",""
"","13","test_create_lista_con_campo_nombre[test_012: crear_lista_con_campo_nombre_invalido_valor_numerico]","tests.api-planka.list","Tue Dec 02 20:53:23 UTC 2025","skipped","Tue Dec 02 20:53:23 UTC 2025","","test_post_list","",""
"","7","test_obtener_lista_por_id_lista[test_024: obtener_lista_con_id_lista_tipo_invalido]","tests.api-planka.list","Tue Dec 02 20:53:23 UTC 2025","passed","Tue Dec 02 20:53:23 UTC 2025","","test_get_list","",""
"","5","test_eliminar_lista[test_026: eliminar_lista_con_token_invalido]","tests.api-planka.list","Tue Dec 02 20:53:22 UTC 2025","passed","Tue Dec 02 20:53:22 UTC 2025","","test_delete_list","",""
"","6","test_create_lista_con_campo_nombre[test_011: crear_lista_con_campo_nombre_vacio]","tests.api-planka.list","Tue Dec 02 20:53:23 UTC 2025","passed","Tue Dec 02 20:53:23 UTC 2025","","test_post_list","",""
"","11","test_eliminar_lista_por_id_lista[test_029: eliminar_lista_con_id_lista_tipo_invalido]","tests.api-planka.list","Tue Dec 02 20:53:22 UTC 2025","passed","Tue Dec 02 20:53:22 UTC 2025","","test_delete_list","",""
"","7","test_crear_lista_por_id_tablero[test_017: crear_lista_con_id_tablero_invalido]","tests.api-planka.list","Tue Dec 02 20:53:23 UTC 2025","passed","Tue Dec 02 20:53:23 UTC 2025","","test_post_list","",""
"","7","test_crear_lista_con_campo_tipo[test_006 : crear_lista_con_campo_tipo_invalido]","tests.api-planka.list","Tue Dec 02 20:53:23 UTC 2025","passed","Tue Dec 02 20:53:23 UTC 2025","","test_post_list","",""
"","12","test_crear_lista_con_campo_posicion[test_010: crear_lista_con_campo_posicion_valor_sin_limite]","tests.api-planka.list","Tue Dec 02 20:53:23 UTC 2025","skipped","Tue Dec 02 20:53:23 UTC 2025","","test_post_list","",""
"","24","test_eliminar_lista[test_025: eliminar_lista_con_token_valido]","tests.api-planka.list","Tue Dec 02 20:53:22 UTC 2025","passed","Tue Dec 02 20:53:22 UTC 2025","","test_delete_list","",""
"","7","test_crear_lista_con_campo_posicion[test_008: crear_lista_con_campo_posicion_invalido]","tests.api-planka.list","Tue Dec 02 20:53:23 UTC 2025","passed","Tue Dec 02 20:53:23 UTC 2025","","test_post_list","",""
"","7","test_crear_lista_por_id_tablero[test_016: crear_lista_con_id_tablero_vacio]","tests.api-planka.list","Tue Dec 02 20:53:23 UTC 2025","passed","Tue Dec 02 20:53:23 UTC 2025","","test_post_list","",""
"","11","test_eliminar_lista_por_id_lista[test_028: eliminar_lista_con_id_lista_vacia]","tests.api-planka.list","Tue Dec 02 20:53:22 UTC 2025","passed","Tue Dec 02 20:53:22 UTC 2025","","test_delete_list","",""
"","11","test_eliminar_lista_por_id_lista[test_027: eliminar_lista_con_id_lista_no_existente]","tests.api-planka.list","Tue Dec 02 20:53:22 UTC 2025","passed","Tue Dec 02 20:53:22 UTC 2025","","test_delete_list","",""
"","7","test_crear_lista_con_campo_posicion[test_007: crear_lista_con_campo_posicion_vacio]","tests.api-planka.list","Tue Dec 02 20:53:23 UTC 2025","passed","Tue Dec 02 20:53:23 UTC 2025","","test_post_list","",""
"","4","test_obtener_lista[test_019: obtener_lista_con_token_invalido]","tests.api-planka.list","Tue Dec 02 20:53:22 UTC 2025","passed","Tue Dec 02 20:53:22 UTC 2025","","test_get_list","",""
"","7","test_obtener_lista_por_id_lista[test_023: obtener_lista_con_id_lista_vacia]","tests.api-planka.list","Tue Dec 02 20:53:23 UTC 2025","skipped","Tue Dec 02 20:53:23 UTC 2025","","test_get_list","",""
"","53","test_021_validar_esquema_de_salida_al_obtener_lista","tests.api-planka.list","Tue Dec 02 20:53:22 UTC 2025","passed","Tue Dec 02 20:53:23 UTC 2025","","test_get_list","",""
"","11","test_crear_lista_por_id_tablero[test_015: crear_lista_co_id_tablero_no_existente]","tests.api-planka.list","Tue Dec 02 20:53:23 UTC 2025","passed","Tue Dec 02 20:53:23 UTC 2025","","test_post_list","",""
"","11","test_obtener_lista_por_id_lista[test_022_obtener_lista_con_id_lista_no_existente]","tests.api-planka.list","Tue Dec 02 20:53:23 UTC 2025","passed","Tue Dec 02 20:53:23 UTC 2025","","test_get_list","",""
"","17","test_020_validar_tiempo_de_respuesta_de_la_solicitud_obtener_lista","tests.api-planka.list","Tue Dec 02 20:53:22 UTC 2025","passed","Tue Dec 02 20:53:22 UTC 2025","","test_get_list","",""
"","21","test_obtener_lista[test_018: obtener_lista_con_token_valido]","tests.api-planka.list","Tue Dec 02 20:53:22 UTC 2025","passed","Tue Dec 02 20:53:22 UTC 2025","","test_get_list","",""
"","3","test_crear_lista[test_002: crear_lista_con_token_invalido]","tests.api-planka.list","Tue Dec 02 20:53:23 UTC 2025","passed","Tue Dec 02 20:53:23 UTC 2025","","test_post_list","",""
"","13","test_crear_lista[test_001: crear_lista_con_token_valido]","tests.api-planka.list","Tue Dec 02 20:53:23 UTC 2025","passed","Tue Dec 02 20:53:23 UTC 2025","","test_post_list","",""
"","14","test_014_validar_esquema_de_entrada_al_crear_lista","tests.api-planka.list","Tue Dec 02 20:53:23 UTC 2025","passed","Tue Dec 02 20:53:23 UTC 2025","","test_post_list","",""
